ID,Title,Description,Category,Likelihood,Impact,Confidence,Effort,Priority,Acceptance Criteria,Owner,Target Date
R-001,"Audit unwrap() in production code","~50+ source files use .unwrap() outside test modules creating panic risk. Replace with ?, .unwrap_or_default(), or explicit expect(""reason"").",Reliability,Medium,High,High,Medium,P1,"Zero unwrap() in non-test src/ code (grep filtered to non-test = 0)",Dev Team,2026-03-15
R-002,"Add code coverage to CI","No coverage measurement exists. Integrate cargo-tarpaulin into CI and upload to Codecov. Set minimum threshold (60%).",Testing,Medium,Medium,High,Low,P1,"cargo tarpaulin runs in CI; coverage badge visible; PR gate active",Dev Team,2026-03-15
R-003,"Add automated benchmarks","Performance claims (startup <10ms, <5MB RAM) are not validated in CI. Add Criterion benchmarks for key metrics.",Performance,Medium,Medium,High,Medium,P2,"cargo bench runs in CI with regression detection; results in artifacts",Dev Team,2026-05-15
R-004,"Cross-platform CI testing","Tests run only on ubuntu-latest. Release targets 4 platforms but tests don't validate macOS or Windows.",CI/CD,Low,Medium,High,Medium,P2,"Tests pass on ubuntu + macos + windows CI runners",Dev Team,2026-05-15
R-005,"Add API versioning","Gateway endpoints (/health, /pair, /webhook) have no version prefix. Add /v1/ for future compatibility.",API Design,Low,Medium,High,Low,P2,"All gateway endpoints prefixed with /v1/; old paths redirect or 404",Dev Team,2026-05-15
R-006,"Create operational runbooks","No formal deployment rollback or incident response documentation exists.",Operations,Low,Medium,High,Medium,P2,"Runbook docs in docs/ covering deployment rollback incident response",Maintainer,2026-05-15
R-007,"Add E2E and fuzz tests","No full-stack E2E tests or fuzz tests for security-critical parsing.",Testing,Low,Medium,High,High,P3,"E2E test with mock LLM; cargo-fuzz targets for tool-call and config parsing",Dev Team,2026-08-15
R-008,"Deprecate legacy XOR cipher","Legacy enc: prefix (insecure XOR) still supported. Set deprecation timeline and force migration.",Security,Low,Low,High,Low,P3,"enc: prefix logged as warning; forced migration after N startups or by date",Dev Team,2026-08-15
R-009,"Generate SBOM","No Software Bill of Materials generation. Add cargo-sbom or syft to release pipeline.",Supply Chain,Low,Low,High,Low,P3,"SBOM artifact attached to GitHub Releases in SPDX or CycloneDX format",Dev Team,2026-08-15
R-010,"Publish API documentation","Module-level rustdoc comments exist but no hosted documentation. Publish to GitHub Pages.",Documentation,Low,Low,High,Low,P3,"docs.rs or gh-pages hosting with auto-publish on release",Dev Team,2026-08-15
